Year,Dividend,Historical Yield,Date,Name,Symbol,Last Close Price,Calculated Yield
2020,0.0112,5.89,2020-07-10,Media Chinese Int,MDCH,0.19,5.894736842105263
2019,0.022600000000000002,12.899999999999999,"2019-12-09,2019-06-19",Media Chinese Int,MDCH,0.19,11.894736842105264
2018,0.0322,16.5,"2018-12-12,2018-06-18",Media Chinese Int,MDCH,0.19,16.94736842105263
2017,0.0557,15.780000000000001,"2017-12-11,2017-06-16",Media Chinese Int,MDCH,0.19,29.315789473684212
2016,0.0879,13.6,"2016-12-13,2016-06-20",Media Chinese Int,MDCH,0.19,46.26315789473684
2015,0.079,6.18,"2015-12-08,2015-07-08",Media Chinese Int,MDCH,0.19,41.578947368421055
2019,0.41000000000000003,11.57,"2019-12-13,2019-06-25",AMMB,AMMB,3.13,13.099041533546327
2018,0.3,6.93,"2018-12-13,2018-08-09",AMMB,AMMB,3.13,9.584664536741213
2017,0.352,8.96,"2017-12-13,2017-08-04",AMMB,AMMB,3.13,11.246006389776356
2016,0.31,6.91,"2016-12-06,2016-08-24",AMMB,AMMB,3.13,9.904153354632587
2015,0.47600000000000003,4.7,"2015-12-02,2015-08-26",AMMB,AMMB,3.13,15.207667731629396
2020,0.26,7.28,2020-03-16,CIMB Group,CIMB,3.58,7.262569832402235
2019,0.51,10.370000000000001,"2019-10-04,2019-03-25",CIMB Group,CIMB,3.58,14.24581005586592
2018,0.5,8.92,"2018-09-24,2018-03-28",CIMB Group,CIMB,3.58,13.966480446927374
2017,0.45,6.63,"2017-10-10,2017-03-28",CIMB Group,CIMB,3.58,12.569832402234638
2016,0.33,6.49,"2016-09-27,2016-03-24",CIMB Group,CIMB,3.58,9.217877094972067
2015,0.08,1.73,2015-09-21,CIMB Group,CIMB,3.58,2.2346368715083798
2020,0.31,6.44,2020-06-10,RHB Bank,RHBC,4.81,6.4449064449064455
2019,0.45999999999999996,9.11,"2019-09-18,2019-05-07",RHB Bank,RHBC,4.81,9.563409563409564
2018,0.32499999999999996,5.85,"2018-09-18,2018-06-04",RHB Bank,RHBC,4.81,6.756756756756756
2017,0.24,4.58,"2017-09-29,2017-05-15",RHB Bank,RHBC,4.81,4.98960498960499
2016,0.16999999999999998,3.16,"2016-09-13,2016-04-11",RHB Bank,RHBC,4.81,3.5343035343035343
2015,0.0579,1.0,2015-03-25,RHB Bank,RHBC,4.81,1.2037422037422039
